player_no,player_name,rookie_score,definition,graduation_code,age,n_rookie,first_date,last_date,win_rate,top3_rate,rookie_attack,n_attack,mean_st_rookie,st_gap_vs_field,trial_trend
3805,佐々木　光輝,0.10187613317474287,term,38,20,118,2025-07-23,2026-07-13,0.13559322033898305,0.4322033898305085,-0.663982184371507,81.0,0.13148676749143465,-0.021317265499284505,3.6790600788268986e-05
3707,福岡　　鷹,0.10160780971671757,term,37,25,73,2025-07-19,2025-12-31,0.2191780821917808,0.5205479452054794,-0.7068158069202999,52.0,0.1294380013374616,-0.02336603165325754,-0.0015669817994726375
3903,且原　朋弥,0.023564171982097315,term,39,23,55,2026-01-26,2026-07-18,0.10909090909090909,0.16363636363636364,-0.3893230456584602,38.0,0.14804231752582733,-0.004761715464891819,-7.547169811321869e-05
9028,北市　　唯,-0.013147783093010984,term,37,21,51,2025-07-19,2025-12-23,0.09803921568627451,0.37254901960784315,-0.6132893462249716,42.0,0.13883796413155014,-0.013966068859169012,-0.0017925570228091426
3810,壷井　亜羅汰,-0.04600611211982769,term,38,28,166,2025-07-21,2026-07-12,0.10843373493975904,0.3493975903614458,-0.7508134628593605,121.0,0.13362673999377067,-0.01917729299694848,-0.00018346717209501896
3909,中村　翔汰,-0.05613865256989803,term,39,23,51,2026-01-15,2026-07-12,0.058823529411764705,0.09803921568627451,-0.2905705370592203,38.0,0.1561964546975879,0.003392421706868737,0.0006564225690276262
9036,浦　眞知子,-0.0762458768840116,term,39,24,51,2026-01-15,2026-07-12,0.0392156862745098,0.13725490196078433,-0.37903624779409384,40.0,0.15280022828249357,-3.804708225585429e-06,0.0009282112845138029
9033,浜田　樹来,-0.15754685883247546,term,38,20,119,2025-07-23,2026-07-13,0.025210084033613446,0.1092436974789916,-0.8094603464165911,86.0,0.135570100824768,-0.01723393216595115,-0.0010368893320039925
3908,廿樂　　歩,-0.16219797466399433,term,39,24,50,2026-01-18,2026-07-13,0.18,0.28,-0.6515026754307588,36.0,0.14336626601834257,-0.009437766972376582,0.0012446578631452256
3809,田中　海斗,-0.19380074196865993,term,38,25,122,2025-07-21,2026-07-12,0.01639344262295082,0.040983606557377046,-0.9695616290216936,90.0,0.12941798454448908,-0.023386048446230073,0.00027022083728492504
3802,植村　愛悠斗,-0.2146274707599028,term,38,19,144,2025-07-26,2026-07-18,0.2569444444444444,0.4930555555555556,-0.8399682705409014,100.0,0.1365407730963597,-0.01626325989435945,-1.1672474962846767e-05
3701,浅倉　樹良,-0.29846550167476327,term,37,26,81,2025-07-19,2025-12-26,0.2716049382716049,0.654320987654321,-0.09789037665632311,65.0,0.17581442974966854,0.023010396758949392,-0.0010609756097561135
3813,藤本　悠仁,-0.3428362187836026,term,38,22,150,2025-07-19,2026-07-18,0.15333333333333332,0.38,-0.5634179439157894,111.0,0.1553185006511326,0.0025144676604134386,4.879376020317123e-05
9035,阿部　優美,-0.3704250224726238,term,39,21,35,2026-01-18,2026-07-13,0.02857142857142857,0.05714285714285714,-0.7595454299427998,30.0,0.147063476288741,-0.00574055670197815,0.0009719887955182476
3708,村田　光希,-0.38867625530985556,term,37,24,65,2025-07-19,2025-12-26,0.15384615384615385,0.3230769230769231,-0.7488180341368151,57.0,0.1483590014554729,-0.004445031535246252,-0.0010345279720279919
3706,丹下　昂紀,-0.41371845528132406,term,37,24,57,2025-07-19,2025-12-25,0.14035087719298245,0.49122807017543857,-0.7903558735121037,48.0,0.147430713541901,-0.005373319448818165,-0.0011958304853042201
3905,国本　　一,-0.44677359065499767,term,39,20,61,2026-01-26,2026-07-18,0.03278688524590164,0.11475409836065574,-0.681013270108167,41.0,0.1541017793487644,0.0012977463580452486,0.001034454015004126
9034,宮司　佳奈,-0.5088584821453648,term,38,24,114,2025-07-19,2026-07-08,0.09649122807017543,0.2543859649122807,-0.32273462726815694,81.0,0.1739861921649753,0.021182159174256143,1.6634506620541284e-06
9038,松尾　亜生理,-0.8737553058951136,term,39,24,52,2026-01-26,2026-07-18,0.07692307692307693,0.1346153846153846,-0.19508989145843386,34.0,0.19571133516615105,0.0429073021754319,0.0007004524886877949
3804,小松　俊輔,-0.968865690886407,term,38,23,158,2025-07-19,2026-07-18,0.0189873417721519,0.0759493670886076,-0.6482508721512099,109.0,0.17797743458473053,0.02517340159401138,-0.0003088302697918647
9031,坂本　茉奈,-1.102321465881321,term,38,20,95,2025-07-23,2026-07-08,0.042105263157894736,0.11578947368421053,-0.40236651693145864,65.0,0.19550429269762662,0.04270025970690747,0.0003136220785319557
9032,染谷　和香,-1.263108242238027,term,38,22,128,2025-09-08,2026-07-18,0.0078125,0.0625,-1.111114767524699,103.0,0.16828226433311752,0.015478231342398369,-0.0005137757780277526
3704,滝谷　　圭,-1.4379493622361563,term,37,24,47,2025-07-19,2025-12-10,0.0851063829787234,0.2553191489361702,-1.0192595862343083,38.0,0.18016824197944314,0.027364208988723993,-0.0021380666049953716
3705,田中　崇太,-1.880853414223797,term,37,23,43,2025-07-19,2025-12-26,0.06976744186046512,0.23255813953488372,-2.0585850502063994,31.0,0.1490959151950469,-0.003708117795672261,-0.0005859257022048041
3901,青木　大輔,,term+debut,39,23,1,2026-01-15,2026-01-15,0.0,0.0,,,0.16210302474303936,0.009298991752320213,
