player_no,player_name,rookie_score,definition,graduation_code,age,n_rookie,first_date,last_date,win_rate,top3_rate,rookie_attack,n_attack,mean_st_rookie,st_gap_vs_field,trial_trend
3703,佐藤　智也,0.13799186466095986,term,37,22,60,2025-07-23,2025-12-26,0.23333333333333334,0.5,-0.5417928765237233,45.0,0.1358412058303211,-0.016824116606422773,-0.00043178660739097516
3902,落合　春翔,0.13393653156335683,term,39,22,60,2026-01-29,2026-07-12,0.1,0.4166666666666667,-0.23572552402879116,50.0,0.15093541882758438,-0.0017299036091595055,-0.00022150789012276984
3707,福岡　　鷹,0.12230458434704,term,37,25,71,2025-07-21,2025-12-31,0.22535211267605634,0.5352112676056338,-0.684478862546513,50.0,0.12955549954597545,-0.023109822890768433,-0.0017566267168226545
3805,佐々木　光輝,0.10309155467252604,term,38,20,118,2025-07-23,2026-07-13,0.13559322033898305,0.4322033898305085,-0.6617746161992571,81.0,0.13148329972758527,-0.021182022709158616,3.6790600788268986e-05
3903,且原　朋弥,0.02966614276780745,term,39,23,55,2026-01-26,2026-07-18,0.10909090909090909,0.16363636363636364,-0.3866120412761563,38.0,0.14803501697035495,-0.004630305466388929,-7.547169811321869e-05
3810,壷井　亜羅汰,-0.04693967769048624,term,38,28,166,2025-07-21,2026-07-12,0.10843373493975904,0.3493975903614458,-0.7493592726341051,121.0,0.1336242179836984,-0.019041104453045493,-0.00018346717209501896
3909,中村　翔汰,-0.048730973126835275,term,39,23,51,2026-01-15,2026-07-12,0.058823529411764705,0.09803921568627451,-0.28807474328993277,38.0,0.15618860315679683,0.0035232807200529515,0.0006564225690276262
9028,北市　　唯,-0.052446441182351144,term,37,21,49,2025-07-21,2025-12-23,0.10204081632653061,0.3469387755102041,-0.6563846024391965,40.0,0.1383920777903967,-0.014273244646347188,-0.0021526270082501565
9036,浦　眞知子,-0.06741952786614677,term,39,24,51,2026-01-15,2026-07-12,0.0392156862745098,0.13725490196078433,-0.374120516515903,40.0,0.1527923767417025,0.00012705430495862924,0.0009282112845138029
9033,浜田　樹来,-0.15594143820390105,term,38,20,119,2025-07-23,2026-07-13,0.025210084033613446,0.1092436974789916,-0.8050539317247113,86.0,0.13556663306091862,-0.01709868937582526,-0.0010368893320039925
3908,廿樂　　歩,-0.15875371316706835,term,39,24,50,2026-01-18,2026-07-13,0.18,0.28,-0.6476890321657622,36.0,0.14335841447755152,-0.009306907959192368,0.0012446578631452256
3809,田中　海斗,-0.19437638872462926,term,38,25,122,2025-07-21,2026-07-12,0.01639344262295082,0.040983606557377046,-0.9649359496050657,90.0,0.1294146013602458,-0.023250721076498088,0.00027022083728492504
3802,植村　愛悠斗,-0.21533783819123128,term,38,19,144,2025-07-26,2026-07-18,0.2569444444444444,0.4930555555555556,-0.8371908382775956,100.0,0.1365379032228292,-0.016127419213914695,-1.1672474962846767e-05
3706,丹下　昂紀,-0.3351324292024831,term,37,24,55,2025-07-26,2025-12-25,0.14545454545454545,0.4909090909090909,-0.7639326832640273,47.0,0.14522799942649528,-0.007437323010248603,-0.0007775871926815675
3813,藤本　悠仁,-0.33726515380040506,term,38,22,148,2025-07-26,2026-07-18,0.1554054054054054,0.3783783783783784,-0.5615242201403416,110.0,0.1551866397820682,0.00252131734532432,0.00012134583563155043
3701,浅倉　樹良,-0.36047848155403467,term,37,26,79,2025-07-21,2025-12-26,0.27848101265822783,0.6455696202531646,-0.13842479048470988,63.0,0.176804828869637,0.024139506432893115,-0.001156280428432355
9035,阿部　優美,-0.3680307642697432,term,39,21,35,2026-01-18,2026-07-13,0.02857142857142857,0.05714285714285714,-0.7553418583351389,30.0,0.1470525254555324,-0.005612796981211476,0.0009719887955182476
3708,村田　光希,-0.4363645277138142,term,37,24,63,2025-07-23,2025-12-26,0.15873015873015872,0.3333333333333333,-0.7585059492834838,56.0,0.14981812071682168,-0.002847201719922199,-0.0006883640552994977
3905,国本　　一,-0.44387829692919767,term,39,20,61,2026-01-26,2026-07-18,0.03278688524590164,0.11475409836065574,-0.6773581186184887,41.0,0.1540951740842894,0.001429851647545527,0.001034454015004126
9034,宮司　佳奈,-0.48546156866771767,term,38,24,112,2025-07-21,2026-07-08,0.09821428571428571,0.25892857142857145,-0.29352518755263846,79.0,0.1745840351089401,0.021918712672196222,2.1235521235546687e-05
9038,松尾　亜生理,-0.8654886443315575,term,39,24,52,2026-01-26,2026-07-18,0.07692307692307693,0.1346153846153846,-0.1933960192618996,34.0,0.19570362902426353,0.04303830658751964,0.0007004524886877949
3804,小松　俊輔,-0.9630294597453934,term,38,23,156,2025-07-26,2026-07-18,0.019230769230769232,0.07692307692307693,-0.6796658361428093,108.0,0.1761655794096193,0.023500256972875416,-0.00023828416997297025
9031,坂本　茉奈,-1.0950979872022166,term,38,20,95,2025-07-23,2026-07-08,0.042105263157894736,0.11578947368421053,-0.39882355103261996,65.0,0.1954999579928149,0.042834635556071005,0.0003136220785319557
9032,染谷　和香,-1.2327119589142546,term,38,22,130,2025-09-08,2026-07-20,0.015384615384615385,0.06923076923076923,-1.080405492899005,105.0,0.16815264097183383,0.015487318535089944,-0.0005176192547152395
3704,滝谷　　圭,-1.4901980248303044,term,37,24,45,2025-07-26,2025-12-10,0.08888888888888889,0.24444444444444444,-1.025463725547191,37.0,0.18183324931896314,0.029167926882219253,-0.00178656126482208
3705,田中　崇太,-1.8287644159880365,term,37,23,41,2025-07-26,2025-12-26,0.04878048780487805,0.1951219512195122,-2.060045668872313,30.0,0.14586354471159615,-0.0068017777251477285,-0.00026132404181182766
3901,青木　大輔,,term+debut,39,23,1,2026-01-15,2026-01-15,0.0,0.0,,,0.16199899182755792,0.009333669390814037,
